tokenId,metadataURI,number,total
492,https://ipfs.pixura.io/ipfs/QmZtp86z77Md8eVLkjab88wDdqymrDy6BoJVGqAzdvfqZk,1,1
493,https://ipfs.pixura.io/ipfs/QmWxkQjvzWRZDRehzV6ESYcqfb3j1UYjj3CmSSsUtDf9Qg,1,1
299,https://ipfs.pixura.io/ipfs/QmeKsy796RxHdpR87neNsmKsfQxY4EjRQphQybfDQPSnmF,1,1
133,https://ipfs.pixura.io/ipfs/QmTq5EF1xNWPVUfoc1HKwq49n5YyoeBuuHMz1ScbugHza1,1,1
155,https://ipfs.pixura.io/ipfs/QmVNdv3MYgTjMGcigXegaJpaTUXGfaUgm99G8cSDeLa4xr,1,1
192,https://ipfs.pixura.io/ipfs/QmUTHLkjz6mS6ekZ99ozk8QeshXK9nKHqPmTExXPdsA83Z,1,1
193,https://ipfs.pixura.io/ipfs/QmXebQoTSqeqHS95iMcP3PfYcZUhRwsY3uhPoXRRPEvzDS,1,1
194,https://ipfs.pixura.io/ipfs/QmdFhvYQ3v56jq2Kv6krrcPtaHnecSXSvkBYjRxXJwGf8h,1,1
195,https://ipfs.pixura.io/ipfs/Qmb1KGMovBxKtCuSCjkGnzNptjNLHBHLZ4apL4F3jbwUcL,1,1
196,https://ipfs.pixura.io/ipfs/Qmazw5TQNurp5ctDQiQdvgpTwoUfqjaiMVpnVvNaZ4NYms,1,1
197,https://ipfs.pixura.io/ipfs/QmQ7WzbVM9HJ8k3nTB1xaNfgYXAxSiYADhFWVEssPgSurx,1,1
198,https://ipfs.pixura.io/ipfs/QmVqkBTSBPAyG8mL1euQjskotpbPJ4vAJYEirE1trA1j4e,1,1
199,https://ipfs.pixura.io/ipfs/Qme2AvT9K7apY9xw9muVWQtxAXi5QdtDzpbtQgq2AzTiyj,1,1
139,https://ipfs.pixura.io/ipfs/QmXLRQ2pjNfdR4tzkKfQW44u85woE3eMUAFnMDj8Gn3t1G,1,1
188,https://ipfs.pixura.io/ipfs/QmULkWKCYqy9YkF5VYXnP5BRcYLAJtx9v4ycRTAX9BvfVw,1,1
149,https://ipfs.pixura.io/ipfs/QmZY1mka8FgDzDKmpyhZdaUQeqmf31eNUFgsTDiw2YYXae,1,1
496,https://ipfs.pixura.io/ipfs/QmdhpbdrZyzTCrFq7MMn25nXJxC57VLScWefsZvFq1bF1h,1,1
187,https://ipfs.pixura.io/ipfs/QmYsm5J6z7Uf8HSPCYKFKP7mKUnyecQa59X3YPhaMBRSrK,1,1
185,https://ipfs.pixura.io/ipfs/QmRzRBghp1ifdZBcpT7T3WyM7u4B39MaaXM3EgXHzgXtnd,1,1
