address,tokenId,dateCreated
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,1121,2018-12-04 18:43:12.485685+01
da5e56e6a41230ed87f39b7c65ede7a8373de403,1012,2018-12-04 18:50:30.536424+01
da5e56e6a41230ed87f39b7c65ede7a8373de403,1081,2018-12-04 18:51:53.731496+01
da5e56e6a41230ed87f39b7c65ede7a8373de403,954,2018-12-04 18:52:24.031663+01
da5e56e6a41230ed87f39b7c65ede7a8373de403,987,2018-12-04 18:52:47.871924+01
576a655161b5502dcf40602be1f3519a89b71658,1099,2018-12-04 18:55:28.929921+01
576a655161b5502dcf40602be1f3519a89b71658,834,2018-12-04 18:56:16.214229+01
60d38778adbbeeac88f741b833cbb9877228eea0,1012,2018-12-04 19:00:56.918603+01
576a655161b5502dcf40602be1f3519a89b71658,1114,2018-12-04 18:57:11.608642+01
576a655161b5502dcf40602be1f3519a89b71658,1058,2018-12-04 18:57:18.313769+01
576a655161b5502dcf40602be1f3519a89b71658,995,2018-12-04 18:57:59.734397+01
576a655161b5502dcf40602be1f3519a89b71658,993,2018-12-04 18:58:10.126986+01
576a655161b5502dcf40602be1f3519a89b71658,893,2018-12-04 18:58:18.286929+01
576a655161b5502dcf40602be1f3519a89b71658,996,2018-12-04 18:58:23.068487+01
60d38778adbbeeac88f741b833cbb9877228eea0,1027,2018-12-04 19:01:55.870225+01
576a655161b5502dcf40602be1f3519a89b71658,936,2018-12-04 19:05:32.960213+01
576a655161b5502dcf40602be1f3519a89b71658,935,2018-12-04 19:05:37.275651+01
da5e56e6a41230ed87f39b7c65ede7a8373de403,1093,2018-12-04 18:50:37.773712+01
d0c877b474cd51959931a7f70d7a6c60f50cdae7,1012,2018-12-04 19:18:16.284228+01
5b0d92e138422428d8e5afab8ee8f99ba9a4e613,1096,2018-12-04 19:43:47.848717+01
5b0d92e138422428d8e5afab8ee8f99ba9a4e613,1063,2018-12-04 19:44:59.221733+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,1111,2018-12-04 19:37:57.552906+01
e13d4abee4b304b67c52a56871141cad1b833aa7,1094,2018-12-04 19:50:29.386767+01
e13d4abee4b304b67c52a56871141cad1b833aa7,1009,2018-12-04 19:50:57.946025+01
e13d4abee4b304b67c52a56871141cad1b833aa7,1029,2018-12-04 19:51:07.698923+01
e13d4abee4b304b67c52a56871141cad1b833aa7,1038,2018-12-04 19:51:12.981861+01
e13d4abee4b304b67c52a56871141cad1b833aa7,1039,2018-12-04 19:51:18.021835+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,117,2018-12-04 19:51:18.103179+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,847,2018-12-04 19:51:21.583357+01
e13d4abee4b304b67c52a56871141cad1b833aa7,1046,2018-12-04 19:51:22.839883+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,129,2018-12-04 19:51:24.884945+01
e13d4abee4b304b67c52a56871141cad1b833aa7,1059,2018-12-04 19:51:27.318459+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,128,2018-12-04 19:51:27.876262+01
e13d4abee4b304b67c52a56871141cad1b833aa7,1069,2018-12-04 19:51:31.641958+01
e13d4abee4b304b67c52a56871141cad1b833aa7,1085,2018-12-04 19:51:36.489891+01
