tokenId,thumbnail,standard
47,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmTSCY9x8sf28MwcipBRRn2bgzuLrjZ9CMAEG9PyswvUv6?w=150&h=150&gifq=100&s=9ae96f5127ef124f3d4721d797be675c,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmTSCY9x8sf28MwcipBRRn2bgzuLrjZ9CMAEG9PyswvUv6?w=400&gifq=100&s=d9d23d0fd7b7b21b01099d8de40b70f6
48,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmWUknuZXuQMuDFAXSkCW6baYrNbwaPU7DC7H9t6UERNgx?w=150&h=150&gifq=100&s=55b923e57e33346fdee3fa4218b016aa,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmWUknuZXuQMuDFAXSkCW6baYrNbwaPU7DC7H9t6UERNgx?w=400&gifq=100&s=ba12d207473908692cd7cd933f2962ac
49,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmWUknuZXuQMuDFAXSkCW6baYrNbwaPU7DC7H9t6UERNgx?w=150&h=150&gifq=100&s=55b923e57e33346fdee3fa4218b016aa,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmWUknuZXuQMuDFAXSkCW6baYrNbwaPU7DC7H9t6UERNgx?w=400&gifq=100&s=ba12d207473908692cd7cd933f2962ac
50,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPL35d35FaJeFXhq898uK5n26dG8LCxttoiL6iztT1C59?w=150&h=150&gifq=100&s=9222aeb7be4e252d5509433f32d89f9b,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPL35d35FaJeFXhq898uK5n26dG8LCxttoiL6iztT1C59?w=400&gifq=100&s=c7d12c77b4d82e8badcc47a81af0b642
51,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmcuhjxvhuCr4Rvqsj1znmZuBuD4nVQDTCRiS5cMrzT5NA?w=150&h=150&gifq=100&s=821f45dde3ae098046bcf75017806b1e,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmcuhjxvhuCr4Rvqsj1znmZuBuD4nVQDTCRiS5cMrzT5NA?w=400&gifq=100&s=ead8c2f2c305a499faa2fbfe3557875a
52,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmXtgrED4qXbsRAtmmZt4xz2LLPHiCoVU8qMVD2gyhgcrt?w=150&h=150&gifq=100&s=475e0b0bdd9684cc4502274784a9eee4,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmXtgrED4qXbsRAtmmZt4xz2LLPHiCoVU8qMVD2gyhgcrt?w=400&gifq=100&s=0795e1172e19efdb90e18781e10c3d8c
53,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmdsDtp4WJh7gWhHBgG9mfGRFCNTRdVKkBoQa1bz36kmaB?w=150&h=150&gifq=100&s=439c972d2ef4d72bc7072e8e401ab02e,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmdsDtp4WJh7gWhHBgG9mfGRFCNTRdVKkBoQa1bz36kmaB?w=400&gifq=100&s=034c58bccc298d11662b161341b2e03a
54,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmckvugYZNVM5mwkaU7nTkGf3czveE7TDGHApJRwf9oEVs?w=150&h=150&gifq=100&s=a9d381dad284d2f2f3d902e0d02920d2,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmckvugYZNVM5mwkaU7nTkGf3czveE7TDGHApJRwf9oEVs?w=400&gifq=100&s=b4aeb162665d5edeb134f572f7311678
55,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmXgeFB52zP8GZmSA4WjUd8DuJq12SDM26Qxy8wrqsqGqr?w=150&h=150&gifq=100&s=9289b32197fa2d8e944c4526d5f0bb1b,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmXgeFB52zP8GZmSA4WjUd8DuJq12SDM26Qxy8wrqsqGqr?w=400&gifq=100&s=1f948fbdd6170e0e75b74ac026efea40
56,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmRVCUH3JbcoQjrsFzaszBN8ffxoAHcAuWqWupq3UfiCF2?w=150&h=150&gifq=100&s=6996d404248114b27e743928aee94829,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmRVCUH3JbcoQjrsFzaszBN8ffxoAHcAuWqWupq3UfiCF2?w=400&gifq=100&s=78c4dc532ba05deac3879a61cd7de244
57,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmRFza15MekEkKnM7psJVZqpvzg6MZNjdmi26zVYV5aXKS?w=150&h=150&gifq=100&s=d1950a644314c6d35144cfe26efa74c6,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmRFza15MekEkKnM7psJVZqpvzg6MZNjdmi26zVYV5aXKS?w=400&gifq=100&s=4aade11ef822b10ee990fab722b131f7
58,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmUsPCoFSZ8spWRbh8AnFk3Rg2XwKbfoEPZSu5t6esSJMS?w=150&h=150&gifq=100&s=9be637b669e79e7a2103066ccb3d63fd,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmUsPCoFSZ8spWRbh8AnFk3Rg2XwKbfoEPZSu5t6esSJMS?w=400&gifq=100&s=d2b761608eb83d92269d2f1a910cc645
61,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmQzuNhuGdwfKwPSJhXXnmtTE46N2V9ZJ9eF5qcw2zcvXj?w=150&h=150&gifq=100&s=5d579f4282ff82d2b643b8200a4bca96,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmQzuNhuGdwfKwPSJhXXnmtTE46N2V9ZJ9eF5qcw2zcvXj?w=400&gifq=100&s=b7673df4a76def907c3fddf0f57eb4fb
